...1,id,reference,description,intern_A,intern_B,verdict
861,861,2013-365,INDONESIA: 03-55N 098-48E. On 19 December 9nm off Belawan Port robbers boarded an anchored chemical tanker unnoticed. They broke into the ship's forward stores and escaped with the ship's property. All crew safe.,exclude,keep,
864,864,2014-2,"MOROCCO: On 19 December, two robbers attempted to board a berthed bulk carrier by climbing the stern mooring rope at position 32-18N 009-14W, Safi Port. Alert duty crew noticed the robbers and informed the duty officer who raised the alarm and mustered the crew. Upon seeing the crew response, the robbers escaped in a small craft.",keep,exclude,
879,879,2014-202,"INDONESIA: On 25 August, three persons in a wooden boat approached an anchored chemical tanker position: 06-01S 106-53E, Tanjung Priok Tanker Anchorage. Alert duty crew on routine rounds noticed the boat and informed the duty officer, who raised the alarm and mustered the crew. Upon hearing the alarm and seeing the crew response, the boat moved away.",keep,exclude,
904,904,2016-43,"DR CONGO: On 9 March, a cargo ship at anchor was boarded near position 05-57S 013-03 E, Boma Port. Robbers were spotted by a duty crewman, the alarm was raised and the crew mustered. The robbers managed to escape without stealing anything.",keep,exclude,
908,908,2016-47,"VIETNAM: On 6 March, a Vietnamese fishing boat was boarded, reportedly by a Chinese crewed boat, near position 16-30N 112-00E, the Paracel Islands. The robbers boarded the boat, stole food and fuel before destroying fishing nets and departing the area. No injuries were reported.",keep,exclude,
910,910,2016-49,"INDIA: On 15 February, an unknown number of robbers boarded a berthed tanker near position 22-02N 088-06E, Haldia Oil Jetty No 1, Haldia Port. The robbers were able to steal ship's stores and escape. The robbery was noticed when the crew approached the aft stations to adjust the mooring ropes. The incident was reported to the authorities.",exclude,keep,
927,927,2014-27,LIBYA: Gunmen are threatening tankers near Hariga as part of a blockade to prevent crude oil exports from the Hariga oil terminal in eastern Libya. Ships attempting to dock at the Harigas terminal could be attacked.,keep,exclude,
928,928,2014-28,"NIGERIA: On 26 January, pirates attacked a tugboat near the Brass River crude oil export terminal in the Niger Delta, kidnapping the ship's captain and an engineer. Sources said that the  tugboat was coming from Port Harcourt in Rivers State and transiting to Brass to load petroleum at the terminal. A spokesman for Italian oil company ENI, which operates the terminal said that the boat belonged to a contractor and that no ENI workers were involved.",exclude,keep,
929,929,2014-212,"BANGLADESH:  On 18 September, twenty five robbers with knives approached an anchored vehicle carrier near position 22-12N 091-47E, Chittagong Outer Anchorage. Ten robbers, armed with knives, boarded via the stern ramp coaming brackets. The alarm was raised and the crew mustered. The robbers stole mooring ropes and escaped, with no injuries to crew. The crew reported the incident to Port Control and Coast Guard who dispatched a boat. At 0645 local time, the Coast Guard contacted vessel indicating that the suspect vessel was apprehended and mooring ropes were recovered.",exclude,keep,
937,937,2014-220,"NIGERIA: On 13 October, a gun battle between Nigerian Joint Task Force and suspected pirates left one soldier dead and another injured. The attack occurred along the Ogbia-Brass route of the Nembe waterway of Bayelsa State. The soldiers were apparently traveling to duty areas near oil facilities in the Nembe area and ran into an ongoing robbery by suspected pirates on another boat. Eyewitnesses said the pirates abandoned their robbery victims and opened fire on the commercial boat carrying the soldiers.",exclude,keep,
938,938,2014-221,"NIGERIA: On 11 October, gunmen attacked a passenger boat near Kiberi-Bio, on the Ogbia-Nembe-Brass waterways in Bayelsa East Senatorial District, leaving four persons missing. Press reports indicate that the gunmen took seized two women and two children, as well as valuables and cash.",keep,exclude,
957,957,2016-57,"VIETNAM: On 7 March, a Vietnamese fishing boat, KH 96640 TS, operating in the Paracel Island area, was reportedly rammed and sunk by a much larger ship; painted gray with Chinese characters on the prow. Five crewmembers were able to escape into a very small work boat and were rescued on the evening of 9 March.",keep,exclude,
958,958,2016-58,"BITUNG PORT, INDONESIA: At night on 22 March while conducting cargo operations in position 01-26N 125-11E, robbers broke into the safety locker of a berthed chemical tanker. They stole ships equipment and escaped unnoticed. Incident reported to owners.",exclude,keep,
967,967,2014-30,"NIGERIA: On 23 January, gunmen attacked a local ferry transiting near the coastal town of Ekeni in Southern Ijaw Local Government Area. The attack claimed the life of a local businesswoman.",exclude,keep,
968,968,2014-31,"TANZANIA: On 28 January, robbers boarded the bulk carrier SAM JAGUAR berthed at a port in Tanzania and stole several lengths of 115 meter ropes. The robbers managed to depart the vessel without being detected.",exclude,keep,
983,983,2014-226,"VIETNAM: On 11 October, three robbers boarded a moored bulk carrier near position  10-43N 106-46E, Mooring Buoys, Ho Chi Minh City. During routine rounds duty cadet noticed the paint storeroom's lock missing. Upon approaching the storeroom the cadet was confronted by three robbers and taken hostage. When he did not respond to calls from the bridge the duty officer sent a duty crewman to investigate. The cadet was found lying on the deck with a bag over his head and his hands tied up. Alarm raised and all crew mustered. The robbers had already escaped with stolen ship's stores. The cadet suffered injuries due to being beaten by the robbers.",exclude,keep,
994,994,2015-112,"INDIA: On 15 May, an unknown number of robbers boarded a berthed product tanker during cargo  operations near position 23-01N 070-13E, Kandla Port. They stole ship's property and escaped. The Duty crewman on routine rounds noticed the theft and raised the alarm. Upon investigation, it was found the robbers gained entry through the forward fire wire and escaped by opening the anchor cover. Small foot prints were visible on forecastle deck. Local agents and authorities were informed.",exclude,keep,
1050,1050,2015-128,"PANAMA: On 8 June, local authorities received a report stating that robbers had boarded the Venezuelan-flagged cargo vessel VFM ALITA near the Atlantic entrance to the Panama Canal, about 50 miles north of Panama City. The two crewmembers onboard the ship were held for approximately two hours while the thieves searched the vessel for valuables. Panama's National Air-Naval Service dispatched a coastal patrol boat to investigate the  incident. They found and detained five assailants aboard the vessel, four adults and one child.",exclude,keep,
1056,1056,2015-134,"TURKEY: On 12 June, a sailing yacht was boarded in Aktur Bay, 10 miles east of Datca. The robbers were able to steal a large amount of cash and jewelry.",exclude,keep,
1105,1105,2015-141,"FRENCH POLYNESIA: At least five sailing yachts have been boarded since the beginning of June in the port  of Uturoa, on the northern end of Raiatea Island. Various items have been stolen, including cash, valuables and electronics. Reportedly, one person was caught in the act and sprayed with mace by the yacht owner. The robber was able to escape.",keep,exclude,
1111,1111,2015-147,"KENYA: On 27 June, robbers armed with long knives boarded a tanker near position  04-02S 039-38 E, Shimanzi Oil Terminal, Mombasa. They were spotted by a duty crewman who alerted the duty officer. The duty officer raised the alarm and the crew mustered. The robbers stole mooring ropes and escaped. The incident was reported to Port Control and local agent.",keep,exclude,
1126,1126,2016-107,"NIGERIA: On 5 May, militants attacked the Okan offshore oil facility, vicinity 05-30N 005-00E, located in the Escravos Bay in the Niger Delta region. A group known as the Niger Delta Avengers has claimed responsibility for the attack. The facility has been temporarily shut down as damage is being assessed.",keep,exclude,
1128,1128,2016-109,"CHINA: On 24 April, an unauthorized person boarded a berthed bulk carrier conducting cargo operations near position 35-21N 119-32E, Rizhao Port. Duty crewman noticed the person hiding on the poop deck area and raised the alarm. Seeing the alerted crew, the person jumped overboard and escaped. Upon searching the vessel it was reported that ship's stores were stolen. Master informed the local agent of the incident.",exclude,keep,
1132,1132,2014-71,"NIGERIA: On 12 March at approximately 0130 local time, criminals boarded the tugboat SOMKE in the Nembe Local Government Area of Bayelsa, northeast of Brass and kidnapped the  vessel's captain. The kidnappers and hostage subsequently disappeared into nearby creeks.",exclude,keep,
1134,1134,2014-73,"NIGERIA: On 22 March, several armed men boarded a passenger vessel near position 04-46N 006-01E, approximately 30 nm northwest of Brass and robbed the passengers. The men were traveling in a speedboat boarded the vessel near Okpotuwari, in Bayelsa State. The gunmen reportedly stole cash and personal belongings from the victims and also disabled the vessel, leaving its occupants stranded. The passengers then swam to a nearby jetty and the authorities were contacted.",exclude,keep,
1157,1157,2015-152,"INDONESIA: On 04 July at the Belawan International Container Terminal near position 03-43N 098-42E, three robbers in a wooden boat approached a berthed container ship. The duty watchman noticed two robbers boarding the ship near the forward deck. He shouted at the robbers and alerted the crew.Seeing the alerted crew the robbers fled the area without stealing anything.",exclude,keep,
1162,1162,2015-157,"TOGO: On 14 July, near position at 06-07N 001-16E, Lome Anchorage, the deck watch of an anchored container ship noticed a wooden boat with 5 individuals and no lights circling the vessel with the intention of climbing on board. The alarm was raised, the crew mustered and all exterior lights were turned on. Seeing the crews alertness the occupants of the boat aborted their approach and moved away. No weapons were sighted. The Togo Navy was informed.",exclude,keep,
1165,1165,2015-160,"SINGAPORE STRAIT: On 25 July near position 01-04N 103-36E, persons in an unlit boat attempted to board an underway tanker. The anti-piracy crew observed the boat approaching to 20 meters. The crew flashed lights resulting in the boat aborting the attempt and moved away. The VTIS Singapore was infromed.",keep,exclude,
1176,1176,2016-119,"CHINA: On 29 April at 0020 to 0140 LT at 38-55.5N 119-13.8E, at Jingtang anchorage, duty crew onboard an anchored ore carrier noticed the diesel oil level gauges lower than normal. The diesel oil tank vents were found to be damaged with indications that oil was stolen. Incident reported to port authority. Police boarded the ship for investigation.",keep,exclude,
1177,1177,2016-120,"CHINA: On 27 March at 0610 LT vicinity 32-16N 119-25E, at Yangzhou terminal, robbers disguised as stevedores boarded bulk carrier during cargo operations and escaped with ship's property. Duty crew noticed the theft and raised the alarm. Crew mustered and a search was carried out. Incident was reported to port authority.",keep,exclude,
1192,1192,2014-92,"NIGERIA: On 21 April, an unlit small boat made a sudden course change, increased speed, and made a close pass by an LNG tanker near position 03-41N 006-18E, approximately 37 nm south of Brass. The master raised the alarm, increased speed, altered course, activated fire hoses, and had crew direct search lights toward the small boat. After 10 minutes the small boat departed the area. MRCC Lagos, Nigeria informed.",keep,exclude,
1231,1231,2016-137,"CUBA: On 27 May, robbers boarded a Canada-flagged sailing yacht anchored near Isla de la Juventud, vicinity 21-45N 082-51W. The robbers were able to steal miscellaneous deck gear and escape unnoticed.",exclude,keep,
1233,1233,2016-139,"MICRONESIA: On 15 May, two fast boats made a suspicious approach against an underway vehicle carrier near position 08-17N 150-53E, between Pisares Island and East Fayu Island. The boats initially called the vessel and asked it to stop. Master raised the alarm and increased speed. The boats continued their approach and again called the vessel and identified themselves to be Navy boats and indicated their intention to attack if the vessel did not stop. The boats continued to threaten the vessel as they approached. As the boats closed to the vessel, the Master observed each boat with a number of people. After around 20 minutes, the suspicious boats stopped the pursuit and moved away.",exclude,keep,
1249,1249,2014-288,"ST LUCIA: On 8 December, robbers boarded two sailing yachts in one night near position 13-51N 061-03W, Soufriere, St Lucia. One of the yacht master reported losing a large amount of cash as a result of the boarding.",keep,exclude,
1269,1269,2015-192,"SINGAPORE STRAIT: On 01 September near position 01-13N 103-55E, robbers boarded the tug MV Permata1 in the Singapore Strait. The bridge crew sent out a distress call, which was answered by the Republic of Singapore Navy (RSN) ship RSS Resilience.The robbers fled towards Indonesian waters at the sight of the Singapore warship. Th RSN's Information Fusion Center (IFC) shared the information of the incident and perpetrators with the Indonesian Navy's Western Fleet Sea Security Group and the Malaysian Maritime Enforcement Agency, which then deployed their naval assets to assist in the search of the robbers. Three robbers were apprehended and the stolen cargo was recovered.",keep,exclude,
1272,1272,2015-195,"INDONESIA: On 2 September near position 08-22S 117-11E, robbers boarded a sailing yacht anchored in Potopaddu Bay, Sumbawa Island. The robbers were able to steal deck equipment and other valuables and escape.",keep,exclude,
1282,1282,2016-149,"PUERTO RICO: On 20 June, robbers boarded an anchored sailing yacht in Isabel Segunda Vieques, vicinity 18-09N 065-26W. Stole an outboard motor, boat hook, and personal items. Local authorities were notified.",exclude,keep,
1284,1284,2016-151,"SAINT VINCENT AND THE GRENADINES: On 02 June, robbers boarded an anchored sailing yacht in Canouan Charlestown Bay, vicinity 12-42N 061-20W. Robbers were able to steal a substantial amount of cash.",exclude,keep,
1287,1287,2016-154,"INDIA: On 03 July at Haldia port, berth No. 4B, vicinity 22-01N 088-04W, robbers boarded a berthed bulk carrier. They entered into the engine room, stole spare parts and escaped unnoticed. The theft was noticed on 06 July after the vessel left port. Local agents were informed.",keep,exclude,
1289,1289,2014-110,"NIGERIA: On 20 April, position 3-41N 6-18E, around 37nm south of Brass. An unlit suspicious craft underway with a speed of six knots, suddenly altered course, increased speed and approached a passing LNG tanker. The master onboard the LNG tanker raised alarm, increased speed, altered course, fire hoses activated and crew directed search lights toward the craft. After around 10 minutes the suspicious craft stopped the approach and altered course. MRCC Lagos, Nigeria informed.",exclude,keep,
1291,1291,2014-112,"NIGERIA: On 4 May, three Dutch citizens and two Nigerian citizens were kidnapped near the settlement of Letugbene, a river community in Bayelsa State, position 4-51N 5-33E. The group was reportedly touring the area to promote work on a local hospital. They reportedly had local guides, but not an armed escort. Up to ten heavily armed bandits were involved in the kidnapping, utilizing several speedboats. The Nigerian citizens were later released, but the Dutch citizens are still being held.",exclude,keep,
1298,1298,2014-119,"PHILIPPINES: Two German citizens living in the Philippines were reportedly kidnapped in late April from their sailing yacht CATHERINE near Palawan Island while on an island-hopping trip, according to police and press reports. They are reportedly being held by members of the Abu Sayyaf Group, along with two other Europeans taken by the group in 2012.",exclude,keep,
1299,1299,2014-120,"DOMINICA:  On 3 May, two men boarded a 43 foot sailing yacht moored south of Roseau and assaulted the owner and passenger onboard. One of the robbers attacked the boat owner  while the other attempted to assault the passenger, who used mace on her attacker. At that point, the robbers fled the boat. The crew of the yacht untied from the mooring point in the harbor and departed the area after attempting to contact local authorities, who did not respond.",keep,exclude,
1302,1302,2015-1,"NIGERIA: On 5 January, unidentified gunmen attacked a house boat belonging to Nigeria¿s Joint Task Force near Kula community in Akuku Toru local government area of Rivers state. The attackers kidnapped a Sergeant and stole weapons and ammunition.",exclude,keep,
1303,1303,2015-2,"NIGERIA: On 27 December, Nigerian naval personnel rescued the captain and chief engineer of MT  EQUINOX, a Panamanian-flagged tanker, after they were kidnapped and held for ransom for more than two weeks in a hotel in Warri, Delta State. The ship¿s captain is reportedly Romanian, while the nationality of the engineer is unknown. Of note, a German and a Belgian employee of a local oil company were arrested for perpetrating the crime.",keep,exclude,
1321,1321,2015-203,"PHILIPPINES: On 18 September, an unknown number of robbers boarded a berthed product tanker near  position 13-40N 121-03E, JG Summit Petrochemical Group Jetty No. 1, Batangas. The robbers boarded unnoticed, stole ship's properties and escaped. The theft was reported by a duty crewman on rounds who found the forward mooring rope cut and ship's properties missing.",exclude,keep,
1326,1326,2015-208,"NIGERIA: On 22 September, a small boat came alongside an anchored product tanker near position 006-16N 003-13E, 14.8 nm south-southwest of Lagos. The persons onboard pretended to be cargo inspectors and produced a fake letter of authorization purportedly signed by the Master of the vessel. Seeing the fraudulent document, and suspecting an attempt to board the vessel illegally, the Master contacted a nearby naval security boat, which responded and detained the suspects.",exclude,keep,
1334,1334,2016-162,"CONGO: On 17 July at 0245LT in 04-47.0S 011-47.9E, at pointe noire anchorage, a robber boarded an anchored pipe laying barge. Duty crew on routine rounds noticed the robber and informed the bridge. Alarm raised and crew mustered. Seeing the crew alertness, the robber jumped overboard and escaped. Incident reported to port control.",keep,exclude,
1365,1365,2015-21,"HONDURAS: On 1 February, three armed men boarded an underway sailing boat approximately 15 nm  offshore of Puerto Cortez. The men initially approached the sailing boat and asked for gasoline, then quickly boarded the boat. They stole the boat's outboard motor, a computer, several cell phones, along with cash and jewelry. The robbers were reportedly calm and unhurried while carrying out their operation. No reports of injuries to the occupants of the sailing boat or damage done to the boat while the robbery took place.",exclude,keep,
1386,1386,2016-176,"GHANA: On 28 July at 0350Z, vessel attacked in 04-54N 001-41E.",exclude,keep,
1388,1388,2016-178,"GHANA: On 26 July at 0338 LT vicinity 04-57N 001-42W, at Sekondi naval berth in Takoradi, a robber armed with a knife in a small boat boarded a berthed tug. The deck crew noticed the robber and raised the alarm. Seeing the approaching crew, the robber escaped. Search was conducted and ship's property reported stolen. Port control informed.",keep,exclude,
1390,1390,2016-180,"GRENADA: On 30 July, two men, one armed with a gun, attempted to kidnap two persons and use their sailing yacht to get to Puerto Rico. During the course of the kidnapping, the sailing yacht grounded on a reef, at which point the armed man took the man¿s wife and left the yacht while the husband was supposed to work to free the yacht. A short time later the group returned to the yacht, but the presence of other yachters assisting the husband deterred the gunman from proceeding with his plan and he left the area. Police were notified and they are investigating.",exclude,keep,
1392,1392,2016-182,"NIGERIA: On 5 August, four robbers armed with long knives boarded a berthed product tanker near position 06-26N 003-25E, Folawiyo Nispan Jetty, Apapa, Lagos. They took hostage the duty pump man and threatened him with their knives. The robbers put two hoses into the forward tank dome and commenced stealing the cargo. Once their boat was full, the robbers released the pump man and escaped. Alarm raised and a search was carried  out.",exclude,keep,
1410,1410,2015-28,"INDONESIA: On 14 February, ten robbers armed with knives boarded a berthed bulk carrier near position 03-47N 098-41E, Berth 107, Belawan Port. When the duty crewman spotted the robbers, the alarm was raised and the robbers fled with cargo from the ship. Local authorities later boarded the vessel for an inspection.",keep,exclude,
1429,1429,2015-234,"FRENCH POLYNESIA: On 16 October, an unknown number of robbers boarded an anchored sailing yacht near position 17-29S 149-50W in Maharepa, Moorea. The robbers broke into several cabins on the yacht, stealing personal electronics, navigational equipment and other items.",keep,exclude,
1440,1440,2016-193,"NIGERIA: On 18 August, six fishermen were kidnapped from the Ibeno area of Akwa Ibom State, vicinity 04-34N 007-59E . A large ransom was reportedly made for their release.",keep,exclude,
1464,1464,2015-39,"NIGERIA: On 3 March, eight robbers boarded a berthed reefer ship near position 06-27N 003-22 E,  Apapa Berth No.9, Lagos. Ship's security watch spotted the robbers and raised the alarm. Seeing the crew's alertness, the robbers escaped empty-handed.",exclude,keep,
1465,1465,2015-40,"INDONESIA: On 3 March, six robbers attempted to board an anchored cargo ship near position 01-08N  103-55 E, vicinity of Cape Uncang, Batam Island. The robbers were spotted by an Indonesian Navy patrol boat and quickly apprehended. They were carrying two long knives and tools.",keep,exclude,
1467,1467,2015-42,"ST VINCENT AND THE GRENADINES: On 6 March, robbers boarded an anchored sailing vessel through an open window. The robbers rummaged thru a money clip and purse and took $400 in cash while the crew slept unaware on a windy, noisy night. The incident was reported to the local police. The incident occurred at the Tamarind Hotel, Canouan, Charlestown Bay.",exclude,keep,
1470,1470,2015-45,"VENEZUELA: On 7 March, robbers boarded three weekend motor boats in the Morrocoy National Park. The robbers reportedly spent seven hours ransacking all three boats, stealing all the belongings and valuables of the three families. They departed the area by then stealing one of the motor boats.",exclude,keep,
1478,1478,2015-239,"PAPUA NEW GUINEA: On 18 October, two robbers boarded an anchored sailing yacht near position  04-11N 144-53E, Hansa Bay in Madang Province. The robbers attacked the boat owner with machetes. Both robbers were eventually thrown overboard and escaped without stealing anything. The boat owner required 16 stitches to close his wounds.",keep,exclude,
1489,1489,2016-200,"BANGLADESH: On 25 August, suspected pirates abducted a fisherman in the Meghna River at Manpura  Upazila in Bhola district, vicinity 22-21N 091-12E. Initially, the pirates opened fire at the fishermen who tried to resist them. Frightened, five fishermen jumped into the Meghna River. The gang then looted fishing nets and fish along with the trawler and abducted the fisherman.",exclude,keep,
1490,1490,2016-201,"BANGLADESH: On 25 August, a gang of pirates kidnapped four fishermen for not paying a toll in the  Meghna river adjacent to Char Abdullahpur in Ramgati upazila of Lakshmipur, vicinity 22-34N 090--59E. When the fishermen refused to pay, the bandits attacked them, injuring several of the fishermen. They then picked up four fishermen and fled the scene. The kidnappers demanded a huge amount of money as ransom from the family members of the four fishermen.",exclude,keep,
1499,1499,2016-210,"INDONESIA: On 14 September, five robbers wearing masks and armed with long knives boarded a berthed bulk carrier during cargo operations near position 01-44N 101-23E, Dumai Anchorage. Two crewmen who entered the engine store room were taken hostage, robbed and tied up by the robbers, who later escaped with stolen spare parts. The crewmen untied themselves and raised the alarm. A search was carried out. Local  agents and port security informed.",keep,exclude,
1503,1503,2017-8,"NICARAGUA: On 20 December, a sailing vessel was boarded while anchored in Media Luna Cay. The  boarding occurred after 13 pangas carrying up to 60 men tried to push the sailing vessel onto a reef where two other wrecks were seen. The apparent leader of the group demanded to search the vessel for cocaine. Finding none, the group ransacked the vessel when 25 men boarded the vessel and helped themselves to fuel, food, cash, cellphones, fishing gear, clothing, marine electronics and anything else they could remove. The crew protested when the robbers took gear necessary to continue their journey and in a few cases it was reluctantly returned by the leader. The mob eventually left the vessel, which then continued to Belize and reported the incident to local authorities.",keep,exclude,
1507,1507,2019-22,"MOROCCO: On 1 April, a duty officer onboard a bulk carrier berthed near position  33-36N 007-37W, Berth T36, Casablanca Port, heard noises from the boat deck. As he approached the area, he noticed the life raft cover was opened and two robbers stealing the equipment. Seeing the duty officer, the robbers jumped overboard and escaped. Incident reported to the port authority. Subsequently, the harbor master and port police and PSC inspector boarded the vessel to investigate. (IMB)",keep,exclude,
1516,1516,2019-31,"LIBYA: On 26 March, a group of 108 migrants hijacked the Palau-flagged tanker M/T EL HIBLU 1 near Tripoli. The ship arrived in Malta¿s territorial waters on 28 March, where it was boarded by Armed Forces of Malta personnel who took control of the ship. (www.timesofmalta.com; www.fleetmon.com)",exclude,keep,
1521,1521,2017-79,"INDONESIA: On 19 March, duty crewman on routine rounds onboard a tanker anchored near position  01-42N 101-28E: 0.8 nm off Pulat Rupat, Dumai, noticed one person attempting to climb onboard by using a hook attached to a bamboo stick. The duty crewman informed the duty officer who raised alarm. Seeing the alerted crew, the intruders aborted and moved away.",exclude,keep,
1530,1530,2017-54,"SRI LANKA: On 24 February, four Tamil Nadu fishermen suffered serious injuries after they were attacked, allegedly by Sri Lankan fishermen, near Kodiyakarai, in vicinity 10-16N 079-49E. The Sri Lankan fishermen first threatened them with hand guns and attacked them with knives, a spokesman for the Pamban Country Boat Association stated.",exclude,keep,
1531,1531,2017-55,"PHILIPPINES: On 22 February, bulk carrier DONG HAE STAR was enroute Indonesia when two black  speedboats with five individuals aboard each boat pursued them near Pearl Bank off Taganak Island, Tawi-Tawi, in vicinity 06-05N 118-19E. A spokesperson for the Western Mindanao Command (Westmincom), said the crew of merchant vessel immediately sent a distress call to the Littoral Monitoring Station of Philippine Navy in Bongao. The spokesperson said patrol boats of the Naval Forces Western Mindanao patrolling the area immediately responded and launched a pursuit. DONG HAE STAR reported that the suspicious speedboats quickly disengaged from chasing the vessel after sighting the responding navy ships.",exclude,keep,
1532,1532,2017-56,NIGERIA: Vessel attacked in 04-41N 007-09E on 07 March at 0620Z.,keep,exclude,
1533,1533,2017-57,"PHILIPPINES: On 05 March, a skiff with six persons onboard approached and followed general cargo ship PHU AN 268 for approximately 1.5 hours. The skiff initially started following the ship near position 06-20N 118-08E, 4.43 nm northeast of Lihiman Island.  Master raised the alarm, increased speed and activated fire hoses. Incident reported to Malaysian authorities. A patrol vessel rendezvoused with the vessel and escorted her to Sandakan port. All crew safe.",keep,exclude,
1534,1534,2017-62,"PUERTO RICO: On 2 March, robbers stole a dinghy and outboard motor from a sailing yacht anchored in  Sun Bay, Vieques, vicinity 18-05.7N 068-27.3W. The dinghy was recovered later that day, minus the motor and fuel tank.",exclude,keep,
1540,1540,2017-15,"YEMEN: On 30 January at 1220Z, in the Southern Red Sea a warship was attacked in 14-49.1N 042-21.8E. The attack resulted in an explosion. The Houthis used three suicide boats, one of which was successful in striking the rear of the Saudi warship and blew up. The resulting explosion caused the death of two Saudi sailors and injuries to three others.",keep,exclude,
1546,1546,2017-21,"HONDURAS: On 13 January, a US-flagged sailing yacht transiting from Puerto Cortez to Roatan was  boarded approximately 5 miles off the coast after anchoring in rough weather. Eight armed men boarded the yacht and ransacked it, stealing electronics, a wall mounted TV, dinghy and outboard motor, cash, alcohol, dive gear, and passports. Incident reported to Honduran Coast Guard and local authorities.",exclude,keep,
1555,1555,2019-33,"PAPUA NEW GUINEA: On 10 March, pirates attacked a passenger boat in Astrolabe Bay. The robbers looted the boat, stole supplies, cash, and personal effects from the 13 passengers. The pirates also forced the male passengers to jump into the sea. (www.thenational.com.pg)",exclude,keep,
1558,1558,2019-36,"NIGERIA: On 8 March, two skiffs with 4 persons on each skiff approached a merchant tanker near position 03-14N 006-27E, approximately 80 nm southwest of Bonny Island. The skiffs closed to within 2 cables. Tanker commenced evasive  maneuvering and the skiffs withdrew. (MDAT-GoG)",exclude,keep,
1559,1559,2017-349,BANGLADESH: On 16 December robbers boarded a barge under tow in 21-14.7N 091-47.5E. Robbers escaped with stolen property.,exclude,keep,
1564,1564,2018-137,"INDONESIA:  On 30 May, an unknown number of robbers boarded a Netherlands-flagged heavy load carrier anchored near position 01:06N - 104:11E, 16 nm northeast of Tanjung Berakit, Pulau Bintan. The ship¿s boatswain discovered the padlock of the paint store was broken and the door left open. Further investigation revealed that the padlocks of the garbage room, oxygen locker, acetylene locker and the bunker station were also broken and the doors were left open. Nothing was missing. (www.pviltd.com)",keep,exclude,
1567,1567,2018-140,"NIGERIA:  On 3 July, the duty officer onboard a tug near position 01:49N - 003:12E, 220 nm southwest of Bayelsa state, noticed a fishing boat lowering a long skiff into the water. The skiff with four to five persons onboard started approaching the tug and closed to a distance of 0.5 nm. Master raised the alarm, increased speed and headed into the swell. Several attempts were made by the skiff to get closer to the tug, but failed due to the rough weather. After following the tug for over five hours, the skiff moved away. (IMB; www.pviltd.com)",exclude,keep,
1568,1568,2018-141,"RED SEA:  On 11 July, a merchant vessel transiting near position 13:22N - 042:45E, 15 nm south of the Hanish Islands, reported that a group of skiffs approached the vessel. One skiff approached the vessel to within 0.2 nm. The embarked security team showed their weapons and the skiff departed. A ladder was reportedly sighted. (UKMTO)",keep,exclude,
1569,1569,2018-142,"MALAYSIA:  On 10 July, robbers boarded a tanker berthed near position 05:48N - 118:03E, Sandakan Port, Sabah, stole ships properties and escaped unseen. The theft was noticed by the duty crew on routine rounds. Incident reported to the local agent who informed the port police. Local police boarded the tanker for investigation. (IMB; www.pviltd.com)",exclude,keep,
1582,1582,2016-250,"FIJI: On 9 October, a small dinghy and outboard motor were stolen from a sailing yacht anchored in Saweni Bay, vicinity 17-38.7S 177-23.6E.",keep,exclude,
1591,1591,2016-239,"INDONESIA: On 7 October at approximately 4:45 am, a Customs and Excise Office patrol vessel was  attacked by a mob in Tanjung Jumpul waters off Asahan regency, North Sumatra, vicinity 02-52.6N 100-07.6E. The four officials reported injuries after the mob threw Molotov cocktails and firecrackers at the patrol vessel when they attempted to inspect a boat suspected of smuggling.",exclude,keep,
1609,1609,2016-258,"SOMALIA: On 22 October at 0955LT in 04-28.1N 053-22.2E, vessel was approached by a speed boat with six persons on board. Warning shots were fired from the vessel when boat got too. Speed boat returned fire and departed from the vessel.",keep,exclude,
1616,1616,2017-115,"RED SEA: On 16 April at 1022Z, a vessel was approached in 12-49.1N 043-16.0E. Three blue skiffs with five persons in each approached the underway container vessel. Master raised the alarm, non-essential crew retreated into the citadel and the armed security team showed their weapons. When skiffs were one mile from the vessel, the security team fired a rocket flare. The skiffs aborted after seeing the flare. At 1035Z, another skiff approached only to be turned away by another rocket flare from the security team. At 1050Z, two more skiffs approached the vessel. Security team showed their weapons and the skiff aborted the approach. All crew reported safe. Ship continued her passage.",keep,exclude,
1617,1617,2017-25,"PANAMA: On 28 January, items were stolen an anchored unlocked catamaran in San Blas. The thieves took a wallet and cellphones from the salon chart table and left two sets of muddy footprints.  A report was made to the local police and to a weather report network.",keep,exclude,
1624,1624,2017-32,"NIGERIA: On 05 February at 1024Z, a vessel was attacked in 03-58.6N 005-28.6E. The general cargo ship BBC CARIBBEAN was attacked by pirates at position at the Pennington Oil Terminal, off of Bayelsa. Eight crewmen, seven Russians and one Ukrainian, were kidnapped off the vessel by pirates armed with automatic weapons.  UPDATE: On 06 March, seven Russian sailors and one Ukrainian national, who were kidnapped last month off the coast of Nigeria, have been freed, a spokesman for the Nigerian Navy said during a press conference.",keep,exclude,
1633,1633,2017-181,"GULF OF ADEN: On 28 June at 0800Z, five skiffs with four or five persons on board each, approached a vessel in 12-28N 043-44E. The skiffs approached to 0.5 NM before retreating.",keep,exclude,
1638,1638,2017-186,"SAINT VINCENT AND THE GRENADINES: On 24 May, a dinghy and outboard motor were stolen from a sailing yacht anchored in Wallilabou, in vicinity 13-16N 061-16W.",exclude,keep,
